"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.sportsactiontv.com/","text/html; charset=UTF-8","200","OK","Indexable","","Dirt Track Events | Sports Action TV - Online Racing Coverage","61","545","Enjoy live dirt track events and more on Sports Action TV. Join us for thrilling racing coverage.","97","576","","0","EXPERIENCE THE THRILL OF RACING","31","Upcoming Events","15","- SUBSCRIBE TODAY -","19","OUR PASSION","11","","","","https://www.sportsactiontv.com/","","","","","","1582561","301026","301026","115.317","","517","102","5.069","92.381","Very Easy","0.209","0","0","","0","0","0","0.000","3","3","0","50","29","0","","","","","612d14c70f20eca49fc304de3415b567","0.064","","","","","en","1.1","","","","","","https://www.sportsactiontv.com/","2025-11-12 11:35:48"
"https://www.sportsactiontv.com/event-details/beach-bash-lake-view-motor-speedway","text/html; charset=UTF-8","200","OK","Indexable","","Beach Bash - Lake View Motor Speedway | Sports Action TV","56","531","","0","0","","0","Beach Bash - Lake View Motor Speedway","37","","0","Time & Location","15","Guests","6","index","","","https://www.sportsactiontv.com/event-details/beach-bash-lake-view-motor-speedway","","","","","","1117054","229167","229167","87.790","","58","16","3.625","100.000","Very Easy","0.055","1","1","","3","2","0","22.220","1","1","0","12","11","0","","","","","e35023505fa769f41063aa34e6a83c7b","0.135","","","","","en","1.1","","","","","","https://www.sportsactiontv.com/event-details/beach-bash-lake-view-motor-speedway","2025-11-12 11:35:49"
"https://www.sportsactiontv.com/event-details/thanksgiving-rumble","text/html; charset=UTF-8","200","OK","Indexable","","Thanksgiving Rumble | Sports Action TV","38","356","Paradise Raceway in Sellers, SC","31","195","","0","Thanksgiving Rumble","19","","0","Time & Location","15","Share this event","16","index","","","https://www.sportsactiontv.com/event-details/thanksgiving-rumble","","","","","","1113311","228395","228395","87.494","","44","15","2.933","100.000","Very Easy","0.050","1","1","","3","2","0","22.220","0","0","0","12","11","0","","","","","ce39278dc1b718c4ffd52ceb2be20c4d","1.364","","","","","en","1.1","","","","","","https://www.sportsactiontv.com/event-details/thanksgiving-rumble","2025-11-12 11:35:49"
"https://www.sportsactiontv.com/event-details/world-100","text/html; charset=UTF-8","200","OK","Indexable","","World 100 | Sports Action TV","28","255","Cross Roads Motorplex in Jasper, FL","35","227","","0","World 100","9","","0","Time & Location","15","Guests","6","index","","","https://www.sportsactiontv.com/event-details/world-100","","","","","","1112278","227891","227891","87.301","","55","17","3.235","100.000","Very Easy","0.055","1","1","","3","2","0","22.220","1","1","0","12","11","0","","","","","3001340ba2a77ccb51635bfbb5e37845","0.103","","","","","en","1.1","","","","","","https://www.sportsactiontv.com/event-details/world-100","2025-11-12 11:35:51"
"https://www.sportsactiontv.com/event-list","text/html; charset=UTF-8","200","OK","Indexable","","Events | Sports Action TV","25","225","","0","0","","0","Upcoming Events","15","","0","T O Director Solutions LLC","26","CONTACT US","10","","","","https://www.sportsactiontv.com/event-list","","","","","","1186871","237325","237325","90.915","","212","70","3.029","100.000","Very Easy","0.116","2","0","","6","6","0","66.670","14","7","0","9","8","0","","","","","36849c713ee3ad8f64f61368052ac17e","1.078","","","","","en","1.1","","","","","","https://www.sportsactiontv.com/event-list","2025-11-12 11:35:52"
"https://www.sportsactiontv.com/event-details/rain-out-classic","text/html; charset=UTF-8","200","OK","Indexable","","Rain Out Classic | Sports Action TV","35","310","Lakeview motor-speedway in Nichols, SC","38","252","","0","Rain Out Classic","16","","0","Time & Location","15","Share this event","16","index","","","https://www.sportsactiontv.com/event-details/rain-out-classic","","","","","","1115700","228603","228603","87.573","","50","14","3.571","98.306","Very Easy","0.054","3","1","","2","1","0","11.110","1","1","0","12","11","0","","","","","e20cbe2655fb6c3a05284e654f243819","0.061","","","","","en","1.1","","","","","","https://www.sportsactiontv.com/event-details/rain-out-classic","2025-11-12 11:35:53"
"https://www.sportsactiontv.com/event-details/jr-johnson-eddie-mishue-memorial-1","text/html; charset=UTF-8","200","OK","Indexable","","Jr Johnson/Eddie Mishue Memorial | Sports Action TV","51","481","The Jr Johnson & Eddie Mishue Memorial at the fast Low Country Kartway in Aynor, Sc","83","536","","0","Jr Johnson/Eddie Mishue Memorial","32","","0","Time & Location","15","Share this event","16","index","","","https://www.sportsactiontv.com/event-details/jr-johnson-eddie-mishue-memorial-1","","","","","","1114353","228732","228732","87.623","","68","16","4.250","100.000","Very Easy","0.061","3","1","","2","1","0","11.110","1","1","0","12","11","0","","","","","a3e53b1e6fc1d1663999f63bb774efce","1.068","","","","","en","1.1","","","","","","https://www.sportsactiontv.com/event-details/jr-johnson-eddie-mishue-memorial-1","2025-11-12 11:35:53"
"https://www.sportsactiontv.com/event-details/jr-johnson-eddie-mishue-memorial","text/html; charset=UTF-8","200","OK","Indexable","","Jr Johnson | Eddie Mishue Memorial | Sports Action TV","53","488","Low country Kartway in Aynor, SC","32","211","","0","Jr Johnson | Eddie Mishue Memorial","34","","0","Time & Location","15","Guests","6","index","","","https://www.sportsactiontv.com/event-details/jr-johnson-eddie-mishue-memorial","","","","","","1115276","229186","229186","87.797","","62","17","3.647","100.000","Very Easy","0.058","3","1","","2","1","0","11.110","1","1","0","12","11","0","","","","","cf22021331adea8b416e5230e27c1348","1.207","","","","","en","1.1","","","","","","https://www.sportsactiontv.com/event-details/jr-johnson-eddie-mishue-memorial","2025-11-12 11:35:53"
"https://www.sportsactiontv.com/event-details/17th-annual-race-for-the-kids-modified-mafia-tour","text/html; charset=UTF-8","200","OK","Indexable","","17th Annual Race For The Kids - Modified Mafia Tour | Sports Action TV","70","634","17th Annual Race For The Kids by The Modified Mafia Tour, LIVE @ County Line Raceway Elm City, NC","97","628","","0","17th Annual Race For The Kids - Modified Mafia Tour","51","","0","Time & Location","15","Share this event","16","index","","","https://www.sportsactiontv.com/event-details/17th-annual-race-for-the-kids-modified-mafia-tour","","","","","","1113863","228937","228937","87.701","","69","15","4.600","100.000","Very Easy","0.061","3","1","","2","1","0","11.110","1","1","0","12","11","0","","","","","c7c17b0a0a7dc9371c1ff6a3f59e275b","1.433","","","","","en","1.1","","","","","","https://www.sportsactiontv.com/event-details/17th-annual-race-for-the-kids-modified-mafia-tour","2025-11-12 11:35:53"
